rank,name,review,rated_excellent,rated_very_good,rated_average,rated_poor,rated_terrible,rating,price_range
319,Gokul Oottupura,16,4,10,1,0,1,4,NaN
320,Rolexio,12,5,5,1,1,0,4,NaN
321,Confiance Bakehouse,6,4,2,0,0,0,4.5,"₹100 - ₹1,000"
322,Canosa,6,2,4,0,0,0,4.5,NaN
323,Cafe Artery,6,3,1,1,0,0,4.5,NaN
324,Hotel Aryaas Park,15,1,11,2,1,0,4,NaN
325,The Cookery,6,4,2,0,0,0,4.5,₹50 - ₹250
326,Cream Stone,8,4,4,0,0,0,4.5,NaN
327,Down Town Restaurant,11,5,3,3,0,0,4,"₹812 - ₹8,125"
328,Burger Spot,22,5,8,5,2,1,3.5,NaN
329,Bolgatty Palace Restaurant,12,3,5,2,1,0,4,NaN
330,Deli at Gateway,30,7,14,5,1,3,3.5,NaN
331,"Open Room, Hotel Arches",10,6,3,0,1,0,4.5,NaN
332,Kadambra Restaurant,21,7,11,0,2,1,4,NaN
333,Mamma Restaurant,9,2,6,1,0,0,4,NaN
334,Kettuvallam Restaurant,8,3,3,2,0,0,4,NaN
335,Arabian Fiesta,17,7,6,2,0,1,4,NaN
336,Oceanview,9,5,2,0,1,0,4.5,NaN
337,Seafood Grill Restaurant,7,6,1,0,0,0,5,NaN
338,The Court House,6,4,1,0,0,0,5,₹25 - ₹250
339,All Spice,5,4,1,0,0,0,5,"₹40,624 - ₹1,62,496"
340,Bread World,16,9,4,1,1,1,4,NaN
341,Hotel Colombo,13,3,4,2,1,0,4,NaN
342,Pavillion,7,4,3,0,0,0,4.5,NaN
343,Fort Inn Restaurant,3,3,0,0,0,0,5,₹100 - ₹200
344,Malabar Plaza,16,4,8,3,0,1,4,NaN
345,Chillax,8,3,4,1,0,0,4.5,NaN
346,Arabella Restaurant at Pgs Vedanta,11,4,5,1,1,0,4,NaN
347,Anandaas,8,4,3,0,0,0,4.5,NaN
348,Eliete Hotel,11,4,4,0,1,0,4.5,NaN
349,Kai-Shek Chinese Restaurant,12,5,2,3,0,1,4,NaN
350,Supreme Upper Crust Kochi,16,4,8,2,0,2,4,₹250 - ₹800
351,Kochi Brasserie,4,4,0,0,0,0,5,₹175 - ₹375
352,Rangoli,23,6,8,5,3,1,3.5,NaN
353,Grande Residencia,15,10,2,1,1,0,4.5,"₹1,625 - ₹8,125"
354,Arctic Hotel - Paprika,3,3,0,0,0,0,5,"₹20,312 - ₹40,624"
355,Hangout De Cafe',8,5,3,0,0,0,4.5,NaN
356,Cinema Cafe,9,3,6,0,0,0,4.5,NaN
357,Sailing Club House,14,9,2,2,0,1,4.5,NaN
358,Hot Spot,11,4,5,1,1,0,4,NaN
359,Regency - Cochin,11,2,7,2,0,0,4,NaN
360,Concert Hot Breads,8,2,5,1,0,0,4,NaN
361,Natural,6,3,3,0,0,0,4.5,NaN
362,Lil' America,21,10,5,3,0,3,4,NaN
363,Bab Arabia,13,3,6,1,1,1,4,"₹120 - ₹1,800"
364,Pappadavada,33,8,14,6,0,5,3.5,NaN
365,Mattancherry Bar,7,4,2,0,0,0,4.5,"₹1,300 - ₹2,600"
366,Poovath Restaurant,19,8,6,2,0,2,4,NaN
367,Sanjoe Restaurant,11,4,4,3,0,0,4,NaN
368,Malabar Plaza,9,2,6,1,0,0,4,NaN
369,Uduppi Darini Vegetarian Restaurant,8,1,7,0,0,0,4,NaN
370,District 7,10,5,3,2,0,0,4.5,₹40 - ₹140
371,Grillz Cafe,4,4,0,0,0,0,5,₹30 - ₹800
372,Kaali Meeri,3,3,0,0,0,0,5,"₹200 - ₹1,000"
373,Kaasa kitchen,5,2,2,1,0,0,4,"₹6,500 - ₹18,687"
374,SREE Muruga CAFE,8,3,4,0,1,0,4,NaN
375,Arabian Grill Restaurant,7,2,3,0,0,0,4.5,NaN
376,Golden Fork Restaurant,24,6,8,6,0,3,3.5,NaN
377,Subway,19,3,7,7,1,0,3.5,NaN
378,Maruti Vilas Veg Restaurant,9,2,5,2,0,0,4,NaN
379,Navarathna Restaurant,6,3,2,1,0,0,4.5,NaN
380,Biriyani Hut,26,5,10,6,4,0,3.5,NaN
381,Pathummas Kitchen,10,6,3,0,0,1,4.5,NaN
382,Kobe Sizzlers,15,2,7,3,1,0,3.5,NaN
383,Ebony & Ivory Asian Kitchen & Cafe,4,3,1,0,0,0,5,₹600 - ₹800
384,Sukh Sagar Restaurant,10,2,5,3,0,0,4,NaN
385,Pearl Malabar,6,2,4,0,0,0,4.5,NaN
386,Cafe17,3,3,0,0,0,0,5,₹500 - ₹700
387,Hotel Aryaas,14,4,6,2,0,2,3.5,"₹6,500 - ₹24,374"
388,Tandoorwala,7,2,5,0,0,0,4.5,₹80 - ₹200
389,Arena,5,3,2,0,0,0,4.5,₹180 - ₹400
390,Cilantro,9,3,4,2,0,0,4,NaN
391,East India Street Cafe,11,3,5,1,1,1,3.5,NaN
392,Anna Cafe,18,2,9,5,1,1,3.5,NaN
393,Hunters,10,3,4,1,1,0,4,NaN
394,Poems By The Art Cafe,3,2,1,0,0,0,4.5,₹250 - ₹400
395,Tasty Land Bakers,5,2,3,0,0,0,4.5,NaN
396,Frys,4,2,2,0,0,0,4.5,NaN
397,Bell Restaurant,7,4,3,0,0,0,4.5,NaN
398,sri Annapurna sweets & restaurant,21,9,7,3,0,2,4,NaN
399,Pizza Xpress,6,5,0,1,0,0,4.5,NaN
400,Hotel Abdulkani (Dosakada),6,2,4,0,0,0,4.5,NaN
401,Fatayer Restaurant,6,5,0,0,0,1,4.5,"₹812 - ₹32,499"
402,Hotel Saravana Bhavan,12,5,3,2,1,1,4,NaN
403,Sharma Restaurant,16,5,4,5,1,1,3.5,NaN
404,The Chocolate Room,8,3,3,2,0,0,4,"₹100 - ₹1,200"
405,KFC,6,2,4,0,0,0,4.5,NaN
